#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18988
#Date Time: 2018-10-05 14:16:56.134
#Start: 10 Hz
#Stop: 1e+06 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.43833 V
#Offset: 1.99864e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.48642 V
#Offset: -0.000238097 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
10,0.012443064351694113,-0.19399592248838643,-6.3253786335857924
11.233240329780266,0.012347372783513678,-0.20908557784223031,-7.0950149985464463
12.618568830660211,0.01235407018132683,-0.22761477096517893,-7.954115662998591
14.174741629268048,0.01240195969723842,-0.25052996780183728,-8.9145604781421639
15.922827933410938,0.012186313497085665,-0.27886409502616333,-9.9867328858079247
17.886495290574349,0.012436747921615492,-0.31459188959338169,-11.179222160931829
20.092330025650458,0.012320498859950228,-0.3585674104742384,-12.507528192313885
22.570197196339215,0.012230088432444223,-0.41306523249991778,-13.979942353607711
25.353644939701113,0.012140121117575205,-0.48044887407766862,-15.612747116572578
28.480358684358048,0.012046828691085781,-0.56388297843919388,-17.412820925976398
31.992671377973846,0.012182153840033011,-0.66560693419557182,-19.389972923695375
35.938136638046252,0.012340895677154538,-0.79049306724895008,-21.552497989522507
40.370172585965584,0.01222123553125053,-0.94238225101289885,-23.904228962455136
45.348785081285826,0.012086907050416205,-1.1254603115669388,-26.444922972179477
50.941380148163859,0.012029567664262693,-1.3450511154334039,-29.164174919191709
57.223676593502205,0.011946262231390576,-1.6054926332256116,-32.053775721297285
64.28073117284319,0.011819125749891312,-1.9118675410720076,-35.091293648564275
72.208090183854566,0.012235835706470298,-2.2689428091843546,-38.248410437419039
81.113083078968714,0.012016964496087457,-2.6786688979744704,-41.494220645275959
91.116275611548872,0.011967052570345084,-3.144473604316202,-44.788410960286484
102.35310218990257,0.01171184622225872,-3.6665690753982942,-48.089867491888953
114.97569953977356,0.012277595542602836,-4.2439740859101303,-51.35795352915931
129.15496650148842,0.011845259130812344,-4.8749260187988712,-54.555295911608937
145.08287784959387,0.011830342709745856,-5.5572584890488663,-57.647309323983833
162.97508346206433,0.01206304518160942,-6.2844725270639046,-60.602780661172439
183.07382802953697,0.011645717612830338,-7.0536419744218382,-63.413157847884086
205.65123083486515,0.011966264343602007,-7.8598588185641507,-66.052052924030249
231.01297000831582,0.011486275514513975,-8.6982515567446068,-68.522465388772957
259.50242113997376,0.011907992652634716,-9.5646226774496785,-70.824348534412252
291.50530628251761,0.011883658016697954,-10.454303107559412,-72.956463123317008
327.45491628777251,0.011579212956887658,-11.363223253942323,-74.933706262679763
367.83797718286343,0.011851621969000112,-12.287027289357802,-76.762366977453212
413.20124001153425,0.011345813677217495,-13.228562797093726,-78.451073072327503
464.15888336127722,0.011826339818494003,-14.180993938913709,-80.026264685527423
521.40082879996839,0.011681568352086306,-15.140382433283804,-81.506557549987036
585.70208180566726,0.010418168436454527,-16.109380572462289,-82.889107509508619
657.93322465756819,0.011543913469864713,-17.082405346249363,-84.174996463213787
739.0722033525775,0.011256153435865043,-18.067159770210715,-85.41890895961717
830.21756813197521,0.010563925015545417,-19.048332042479824,-86.608681644974752
