#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-11-02 16:45:03.374
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.45285 V
#Offset: -3.72698e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.47492 V
#Offset: 0.000104841 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1,-2.3244514582430136,-17.861787166521871,-15.204991628433703
1.1768119524349967,-2.324809735036875,-17.682532589026529,-14.165571651533831
1.3848863713938744,-2.324674045220076,-17.712305018336146,-13.584964789598132
1.6297508346206435,-2.325069211582643,-17.753746433900204,-13.15511550421358
1.9179102616724886,-2.3251462366390898,-17.779926211187821,-12.819017915803393
2.2570197196339215,-2.3244204881526893,-17.799391779499128,-12.583681991530369
2.6560877829466838,-2.3240614753576887,-17.79975640973095,-12.478157449707012
3.1257158496882349,-2.3232034400725294,-17.804716106218031,-12.497417151726751
3.678379771828634,-2.3218054662534096,-17.788429143880798,-12.614452341377287
4.3287612810830618,-2.3206903496998366,-17.761685336623223,-12.867707198437984
5.0941380148163748,-2.3190254751409913,-17.743008626707606,-13.286837208332713
5.994842503189421,-2.3174024200116943,-17.706402352474004,-13.880671417345809
7.0548023107186451,-2.3168644830552947,-17.663843147378756,-14.654744108955995
8.3021756813197349,-2.3161422850096329,-17.614491676173053,-15.650578076998201
9.7700995729922475,-2.3158280306423422,-17.560980450216956,-16.843654218693587
11.497569953977356,-2.3154601088558544,-17.506594531076335,-18.295532676007582
13.530477745798075,-2.3159807272917092,-17.457998721010185,-19.953310048593863
15.922827933410939,-2.3164173955759111,-17.399937757968019,-22.004173785732888
18.738174228603867,-2.3162401760488822,-17.28386475110424,-24.814916859400697
22.051307399030456,-2.315864235354578,-17.118602253754087,-28.306532634846519
25.950242113997319,-2.3151938746330787,-16.909747750019182,-32.275281623270203
30.538555088334185,-2.3151075182496217,-16.665193705362977,-36.590855096408859
35.938136638046259,-2.3148430871635024,-16.388582162392353,-41.107238250716939
42.292428743894995,-2.3145917713118078,-16.104560685407417,-45.724290913530865
49.770235643321143,-2.3153459949849129,-15.81660024415287,-50.419010814687596
58.570208180566731,-2.3162985055262961,-15.550537291502472,-55.16726258925641
68.926121043496948,-2.3150899082588774,-15.377847962953783,-59.745062856516384
81.113083078968728,-2.3164492934124077,-15.296075865992048,-64.24506006207983
95.454845666183459,-2.3173297217029831,-15.313299283680053,-68.59245420532946
112.33240329780266,-2.3179598648834894,-15.460283259742784,-72.855619908131146
132.19411484660287,-2.3183906166078265,-15.747166019687542,-77.041139473351137
155.56761439304725,-2.3188077087727508,-16.191787393858085,-81.199666119514163
183.07382802953697,-2.3187545358619195,-16.795314383616546,-85.397963223196243
215.44346900318823,-2.3187701145268216,-17.568259208904273,-89.75232947800616
253.53644939701115,-2.3178333168313521,-18.50002901718242,-94.353630095358653
298.36472402833402,-2.3164346884666047,-19.595837720876577,-99.37456144343713
351.11917342151349,-2.3151749322970887,-20.808999178991911,-105.04730163334726
413.20124001153346,-2.312126692242976,-22.147983202892448,-111.68663834638775
486.26015800653533,-2.3092541143814609,-23.538071308891276,-119.83519808002752
572.23676593502205,-2.3007079011689298,-24.988696656291825,-129.45257977378463
673.41506577508153,-2.2929587632603248,-26.360682815899143,-142.18480789654237
792.48289835391699,-2.2755253516733593,-27.566400903906754,-157.39962135261504
932.60334688322177,-2.250461629485633,-28.297564379276011,-175.68001372337977
1097.4987654930569,-2.2169583765121006,-28.289389969248116,164.26719083429157
1291.5496650148827,-2.1601623034360804,-27.735706561293291,144.94418606569982
1519.9110829529347,-2.0793566328727948,-26.825700384260177,127.58505602916921
1788.6495290574351,-1.965326520489131,-25.780365294847961,112.21493389302204
2104.9041445120179,-1.8195162253678723,-24.702991845120902,98.722563027004156
2477.0763559917114,-1.6315553971569701,-23.836284202741989,86.105043618486818
2915.0530628251818,-1.4114589969765672,-23.061894984955515,74.745339827890859
3430.4692863149194,-1.1589003832580089,-22.49947963805614,63.780596776210672
4037.0172585965538,-0.87625741754870345,-22.038640751694835,53.235708323339566
4750.8101621028036,-0.57836500544348968,-21.706650569429812,42.684672611987239
5590.810182512223,-0.26153479441773625,-21.450738811947943,31.32910414958123
6579.3322465756755,0.055844428559085987,-21.366611484332143,16.133293574603751
7742.6368268112774,0.08262663058105349,-23.686282726440666,-17.446677914653236
9111.6275611548863,0.059075874394516226,-25.091950240177674,-49.357197434235736
10722.672220103243,-0.098120332796427914,-35.079485363229992,-101.43726184307442
12618.568830660211,-0.13910362862802705,-47.567617559297886,100.97586034951381
14849.682622544635,-0.13482469631198973,-42.928603363145221,78.372399578428684
17475.284000076848,-0.13160673819850713,-41.921598458408212,69.085114548193872
20565.123083486516,-0.13215320998846258,-41.088787907955989,62.751556057669475
24201.282647943837,-0.12848694360585647,-40.485074888453212,56.800948908674741
28480.35868435802,-0.12879997012075092,-39.848869411942772,52.294975619287356
33516.026509388445,-0.13330350698806959,-39.168403933284402,48.251376318681082
39442.060594376555,-0.12039756651923485,-38.685771521357232,44.372121520940908
46415.888336127769,-0.10892253258150264,-38.220886531019389,42.146096899572854
54622.772176843428,-0.10236694739551075,-37.582321874589375,39.451744581539813
64280.731172843189,-0.096057050089762452,-37.14675510102856,38.151685573439593
75646.332755462907,-0.092396502043709264,-36.662653763797273,36.416433144308513
89021.508544503828,-0.07944325970394514,-36.137425718107721,34.864011703940946
104761.57527896641,-0.074913290391605658,-35.559161426641857,33.173050995474
123284.67394420666,-0.068415593490453355,-35.049699333058875,31.82982231122228
