#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-11-02 16:39:18.060
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.45285 V
#Offset: -3.72698e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.47492 V
#Offset: 0.000104841 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1,-3.2597846191702611,-15.204359728623803,-115.37193366214632
1.1768119524349967,-3.2638531132315158,-15.421145691675095,-120.79731178251473
1.3848863713938744,-3.2677241836602051,-15.60339868030464,-125.92038740523589
1.6297508346206435,-3.2710943854015593,-15.753038894072862,-130.72438594750943
1.9179102616724886,-3.274148536889431,-15.869055296676509,-135.25369178288136
2.2570197196339215,-3.2772898960347661,-15.948712500573297,-139.62000872499871
2.6560877829466838,-3.2791689604419343,-15.999304728982889,-143.98808212988564
3.1257158496882349,-3.2827938977800923,-15.998527071545443,-148.44538143444845
3.678379771828634,-3.2856673054002639,-15.954431497269898,-152.93299368298585
4.3287612810830618,-3.2888152176420515,-15.863572557680559,-157.36588262529537
5.0941380148163748,-3.2922816034841218,-15.733152163462885,-161.80291798770713
5.994842503189421,-3.2956651647878079,-15.572744592318465,-166.28148675592689
7.0548023107186451,-3.3001792508801882,-15.366300923151792,-171.06436935720461
8.3021756813197349,-3.3061775953946491,-15.085030474769034,-175.85877610154489
9.7700995729922475,-3.3133247232833902,-14.736787382069148,179.9626773681681
11.497569953977356,-3.3209325064027038,-14.348144627286107,176.52103713530772
13.530477745798075,-3.3300693354464612,-13.948362692257849,173.62262905144647
15.922827933410939,-3.3386116278918347,-13.649043233727383,171.76898231176099
18.738174228603867,-3.3482834725817923,-13.418056956206264,170.58216518223406
22.051307399030456,-3.3576378061987056,-13.213824170449076,169.51947956453188
25.950242113997319,-3.3671633078926178,-13.02175620513718,168.42885609892392
30.538555088334185,-3.3772935268912265,-12.818934178634454,167.11475364118968
35.938136638046259,-3.3901322711945676,-12.606398751396261,165.68525992116267
42.292428743894995,-3.4032564635374056,-12.39803251301278,163.97912973589078
49.770235643321143,-3.4175824278366749,-12.186245125746911,161.97504749330062
58.570208180566731,-3.4340541169303691,-11.975838591304214,159.76333025907198
68.926121043496948,-3.446531384289091,-11.7885454632448,157.13261537222976
81.113083078968728,-3.4587932106927304,-11.616939408159581,154.27540929396622
95.454845666183459,-3.4687417577951773,-11.489422406287515,151.28207514013127
112.33240329780266,-3.4761293395116102,-11.41767234956189,148.18039654939636
132.19411484660287,-3.4809952683713643,-11.417621548619836,144.95225015295222
155.56761439304725,-3.4851849642823951,-11.49718541642893,141.54690187314452
183.07382802953697,-3.4883885489936799,-11.662027048148849,137.82382740802538
215.44346900318823,-3.4910227697132914,-11.918178459079137,133.60588454561852
253.53644939701115,-3.4950485209031052,-12.24947192579104,128.76445019153064
298.36472402833402,-3.4994754877121927,-12.656917980312512,123.16498882704674
351.11917342151349,-3.5049533632931236,-13.099108965972821,116.66393598403874
413.20124001153346,-3.5078570031555074,-13.542998917435602,109.1202031312956
486.26015800653533,-3.51300732690106,-13.923335605671067,100.80559073235482
572.23676593502205,-3.509078145271332,-14.197845734840893,91.65581709693447
673.41506577508153,-3.5040110096881838,-14.356555403747912,82.65670892575784
792.48289835391699,-3.4954570237311704,-14.327725101717927,73.869489695095837
932.60334688322177,-3.4725523307504087,-14.153007911003572,65.537636728796684
1097.4987654930569,-3.4434713906244339,-13.91401054260395,58.460150311969848
1291.5496650148827,-3.3947940187769947,-13.588665663755538,52.119998532240231
1519.9110829529347,-3.3370133126743697,-13.272498352941058,47.039667510299779
1788.6495290574351,-3.2529540551022942,-12.908233055221746,42.456981213622051
2104.9041445120179,-3.1564512196526855,-12.583389954397209,38.661303563000374
