#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-11-02 16:36:07.397
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.45285 V
#Offset: -3.72698e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.47492 V
#Offset: 0.000104841 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1,-4.1121883678698969,-55.825620417267494,-2.7375461001673003
1.1768119524349967,-4.1135202270597953,-55.793640231444542,-3.3325345854031987
1.3848863713938744,-4.1153726669800852,-55.730690025323888,-2.1638590870927619
1.6297508346206435,-4.1176231543791282,-55.593767483151105,-3.0297080443589017
1.9179102616724886,-4.1183593146968454,-55.756455054968768,-3.3685293943619428
2.2570197196339215,-4.1199567325304116,-55.614694210331102,-3.4361815804845151
2.6560877829466838,-4.1238021120956647,-55.515792016955182,-4.420839312251104
3.1257158496882349,-4.1259766161527027,-55.743674672863492,-5.4473423475541267
3.678379771828634,-4.128990723987024,-55.487877118525653,-3.6529246885594517
4.3287612810830618,-4.1328234775661716,-55.606356915149355,-5.8477254195882047
5.0941380148163748,-4.1372794678670077,-55.555694726062214,-6.6746918589953737
5.994842503189421,-4.1412709465663093,-55.594382725392705,-6.3742180064982676
7.0548023107186451,-4.1452886511107483,-55.480070698417727,-8.4695878139196736
8.3021756813197349,-4.1496248712325201,-55.52871578647629,-7.9384826287470247
9.7700995729922475,-4.1547009417986471,-55.455473133111333,-9.0060325130804131
11.497569953977356,-4.1596699565682673,-55.416119536303341,-9.4832717077531754
13.530477745798075,-4.1657248320996301,-55.221508636695198,-9.9789132917933223
15.922827933410939,-4.173214826006979,-55.4660806524073,-10.633410136657027
18.738174228603867,-4.1816257447281071,-55.352128572372941,-11.978648544661826
22.051307399030456,-4.1913904750184869,-55.232233836337571,-12.732755434748043
25.950242113997319,-4.2031866049614113,-55.204436941833819,-13.169447742202465
30.538555088334185,-4.2143664987046474,-54.972457685330454,-13.875035421155445
35.938136638046259,-4.2362840134562401,-54.904425624525651,-13.378511484436586
42.292428743894995,-4.2605455266874701,-54.643614818016204,-14.803592357368814
49.770235643321143,-4.2878460098565156,-54.507785636769164,-15.271596134224225
58.570208180566731,-4.3155664719538258,-54.372499538455834,-15.10257583910434
68.926121043496948,-4.3449944892254564,-54.007442896465292,-15.875929255711611
81.113083078968728,-4.380090669593276,-53.860484111177144,-16.533595547045579
95.454845666183459,-4.4112620641831288,-53.54277247213615,-17.617499766615431
112.33240329780266,-4.4392629878075569,-53.420002693370812,-18.301239815770316
132.19411484660287,-4.4648340029110765,-53.092781776817837,-18.539052304616511
155.56761439304725,-4.4855710853228574,-53.0763798158602,-19.19925887525784
183.07382802953697,-4.4993029677297081,-52.82645098217337,-20.107989299622382
215.44346900318823,-4.5056253829178861,-52.768808480500695,-19.393469183247404
253.53644939701115,-4.5058949649381583,-52.752783717765233,-18.133682888404849
298.36472402833402,-4.5001089317094651,-52.700080672908783,-18.000310727861166
351.11917342151349,-4.4876666557537188,-52.772957976280289,-16.401975748437792
413.20124001153346,-4.4734816375591722,-52.761005329124664,-15.98810897700713
486.26015800653533,-4.4566016208157686,-52.712100042527851,-13.629441318728489
572.23676593502205,-4.4399816944704344,-52.852466308072124,-10.469534164142857
673.41506577508153,-4.4216073937494453,-52.79933541121423,-6.8955071473677094
792.48289835391699,-4.3997827824354117,-52.607472069313644,-3.2025288754017218
932.60334688322177,-4.3767855596098491,-52.64748394346023,-0.39202180945781606
1097.4987654930569,-4.3358393512487909,-52.378439098992644,5.2201796546839745
1291.5496650148827,-4.28655806680929,-51.929901117798835,10.256708050404193
1519.9110829529347,-4.2141037932187873,-51.966727297291328,14.064003347699128
1788.6495290574351,-4.1327363199578908,-51.546653130742357,16.578683472521149
2104.9041445120179,-4.0195769105675909,-51.108647390879852,20.798099929982989
2477.0763559917114,-3.9089656426758008,-50.702682052717961,26.345860448763226
2915.0530628251818,-3.7705467488192266,-50.18632542670727,30.716430440302446
3430.4692863149194,-3.6291311270353614,-49.411650585583821,35.115562546912905
4037.0172585965538,-3.4878000170740755,-48.728226111084979,39.4315858409092
4750.8101621028036,-3.3433000009300202,-47.726834389772776,41.794509912162894
5590.810182512223,-3.2002931827766581,-46.925498506154682,44.713663088325632
6579.3322465756755,-3.0604662547288091,-46.035037932834364,47.348319345764082
7742.6368268112774,-2.9431047004418582,-45.164216672147006,48.728380574898303
9111.6275611548863,-2.806515514631239,-44.493201030420053,49.876664613763509
10722.672220103243,-2.6786056959028248,-43.535899365361608,51.349082777277758
12618.568830660211,-2.5737243389547788,-42.832058136255704,53.449260608043488
14849.682622544635,-2.4547355871530598,-42.199297644340817,55.193052324481059
17475.284000076848,-2.3534174817758178,-41.389668213950117,55.510409114246713
20565.123083486516,-2.2559286416891462,-40.764923998993474,56.894449623987626
24201.282647943837,-2.1671609067833049,-39.765931189818531,57.866558883044434
28480.35868435802,-2.0890108177189042,-38.993455111900467,57.782216116289874
33516.026509388445,-2.0229146665608022,-38.1428577451221,58.38374280829661
39442.060594376555,-1.9343668168480452,-37.230882358354805,58.498913933155812
46415.888336127769,-1.8665980265711761,-36.397443498454273,58.667991723498432
54622.772176843428,-1.7928485164284611,-35.60332678521636,58.396387198850967
64280.731172843189,-1.7234984609454518,-34.591948425978977,58.302182659518948
