#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18976
#Date Time: 2018-11-02 16:42:29.733
#Start: 1 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 5.45285 V
#Offset: -3.72698e-05 V
#Relative: no
#Channel: Channel 2
#Range: 5.47492 V
#Offset: 0.000104841 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
1,-2.3266491069946991,-17.858838319045581,-15.000202453680316
1.1768119524349967,-2.3270888019989604,-17.719048695974422,-14.161173358816896
1.3848863713938744,-2.3267200347890715,-17.743945367875465,-13.594732815316597
1.6297508346206435,-2.3268176591600893,-17.783560799326537,-13.141759501261301
1.9179102616724886,-2.3268301853775628,-17.807685603614708,-12.808634234530217
2.2570197196339215,-2.3260120927214523,-17.82503012880634,-12.574996600494835
2.6560877829466838,-2.3259549062106717,-17.828769553191535,-12.463264432917597
3.1257158496882349,-2.3246390698010746,-17.826886102494193,-12.482544999990296
3.678379771828634,-2.3233766309407944,-17.814184732898134,-12.612046855341845
4.3287612810830618,-2.3220831409506237,-17.790632412150266,-12.866092792741497
5.0941380148163748,-2.3205524245480027,-17.763957300504256,-13.27725549029195
5.994842503189421,-2.3193021883912239,-17.727724785144378,-13.853638373740786
7.0548023107186451,-2.3186213342313535,-17.683823026449684,-14.649554490070244
8.3021756813197349,-2.3174903723613514,-17.630104036465923,-15.642591021797685
9.7700995729922475,-2.3176776928057623,-17.573863061408833,-16.857220738803427
11.497569953977356,-2.3172361534122459,-17.521241499656121,-18.301495059052797
13.530477745798075,-2.3175734007148594,-17.472896126509781,-19.950618053642078
15.922827933410939,-2.317818108018463,-17.411961071893455,-22.002132619485835
18.738174228603867,-2.3180219320900215,-17.299937690609177,-24.824872133620239
22.051307399030456,-2.3176729371926759,-17.132138763486012,-28.308617075884897
25.950242113997319,-2.3169212358428739,-16.923193333298471,-32.295212639224303
30.538555088334185,-2.3158021522829113,-16.671236172838377,-36.598800529856355
35.938136638046259,-2.3163243656426742,-16.401756451383889,-41.126761863494934
42.292428743894995,-2.3164254699687241,-16.11693462592725,-45.747845929506617
49.770235643321143,-2.3163450125957272,-15.824480509984959,-50.417147551628908
58.570208180566731,-2.3156998273341136,-15.564182724665667,-55.101057994046954
68.926121043496948,-2.3160793798534023,-15.388598340603899,-59.739122061298119
81.113083078968728,-2.3178828132407929,-15.302739400828798,-64.255274186284169
95.454845666183459,-2.3191160758972873,-15.324380244357577,-68.620192077723686
112.33240329780266,-2.3198747215980129,-15.470241122809767,-72.862323964484986
132.19411484660287,-2.3205079079690365,-15.755519440347427,-77.052365286971053
155.56761439304725,-2.3209494063840168,-16.20434434948729,-81.214140824069347
183.07382802953697,-2.3210888212113807,-16.812282009970239,-85.423215701958441
215.44346900318823,-2.3211797053147887,-17.581034353989835,-89.781399128501562
253.53644939701115,-2.3210247072602175,-18.510387421440186,-94.382404483865145
298.36472402833402,-2.320112191117814,-19.590478124369454,-99.421582492844323
351.11917342151349,-2.3186333282484521,-20.810422385725818,-105.0935938193783
413.20124001153346,-2.3167001897734978,-22.134658305789735,-111.71778663982656
486.26015800653533,-2.3127383240216108,-23.546106719788543,-119.70895264911481
572.23676593502205,-2.3085945858882697,-24.984411239887145,-129.74182942322798
673.41506577508153,-2.300181030611812,-26.369589567577552,-142.19079762963543
792.48289835391699,-2.2853189981232722,-27.524637775846386,-157.71875379814037
932.60334688322177,-2.2627658635625765,-28.229415129169272,-175.97065490168126
1097.4987654930569,-2.2288793160877209,-28.250861455096089,164.29692585285812
1291.5496650148827,-2.1756251774001867,-27.71720585431494,145.22881665195834
1519.9110829529347,-2.0987008964793739,-26.775506256744084,127.92865840153547
1788.6495290574351,-1.9903337358099138,-25.711241701702324,112.56628275295709
2104.9041445120179,-1.8478127481954922,-24.692382633059697,98.990197000465599
2477.0763559917114,-1.6678461586811302,-23.817511816933287,86.510409149480722
2915.0530628251818,-1.4542640669886611,-23.045395173900435,75.140849249926077
3430.4692863149194,-1.2101081486131444,-22.463254589801288,64.302191310640239
4037.0172585965538,-0.9359855811681701,-22.047542620484361,53.688042532622745
4750.8101621028036,-0.64656761878339675,-21.7194861491914,43.322824860107019
5590.810182512223,-0.3386712687166914,-21.503609049701428,32.331497287524108
6579.3322465756755,-0.023500181319406548,-21.331284936844504,19.044730559662412
7742.6368268112774,0.095096590998679259,-22.911385876134645,-8.6170548226523653
9111.6275611548863,0.052949622117987254,-24.60998198000539,-44.6140269455001
10722.672220103243,-0.081796549045905428,-29.076117502053819,-87.221656750824948
12618.568830660211,-0.14496069017429539,-58.850172117976776,159.97156792965353
14849.682622544635,-0.14276497123658355,-44.407672523841882,77.747227132605758
17475.284000076848,-0.14107319230380216,-42.954434920806293,69.504911445573953
20565.123083486516,-0.13927546889903933,-42.149805846745132,63.256290532793301
24201.282647943837,-0.1367769814238014,-41.434837762601774,57.201056661589952
28480.35868435802,-0.13675850066515752,-40.998678219454135,52.546681791929302
33516.026509388445,-0.14083537982527861,-40.27824717575001,48.57813440705786
39442.060594376555,-0.12590153266217313,-39.710224977311633,45.626062472790565
46415.888336127769,-0.11814355661748005,-39.133074868025098,43.383453920208737
54622.772176843428,-0.10887644484713971,-38.651194597169791,41.449227374933621
64280.731172843189,-0.10357782103212117,-38.043914886818577,39.548322590835852
75646.332755462907,-0.098536414455531865,-37.471436302393307,37.580624338897557
89021.508544503828,-0.087647288490705508,-37.002196865809665,35.657722830531505
104761.57527896641,-0.082498440365787545,-36.349471710793587,34.587931801738492
123284.67394420666,-0.076578371326593397,-35.783893329988359,32.671218026746644
145082.87784959387,-0.078101183563192719,-35.200130000670086,30.696173150280941
170735.26474706922,-0.080910985481434688,-34.720061098903287,28.843913796737311
200923.30025650471,-0.095243916603402271,-34.277021438727651,26.340026566383585
236448.94126454048,-0.10183668808747412,-33.863844710843779,24.389420985666092
278255.94022071263,-0.11413903724496029,-33.478229262704758,22.405667779918723
327454.91628777271,-0.13037257249399054,-33.178817559777976,19.709445577772399
385352.85937105311,-0.1553560170329763,-32.928656982306698,17.962354350571331
453487.8508128582,-0.16604582864524767,-32.663278456283393,15.765367495980543
533669.92312063125,-0.18832983239379461,-32.553105518092693,13.53177549523997
628029.14418342523,-0.21703378707622636,-32.374539104567212,11.892328863709537
739072.20335257752,-0.23771325429665668,-32.262741744185604,10.312186637671335
869749.00261778338,-0.24934043309902992,-32.161945078146644,8.7583032655628159
1023531.0218990258,-0.27477911100087044,-32.116454086324943,7.4010003518424741
1204503.5402587829,-0.30452166665593133,-32.100638285529023,6.1846012627250389
1417474.162926805,-0.34108054321890813,-32.0829038562497,5.1578261750775312
1668100.5372000574,-0.3906808420026347,-32.073873467275938,4.3962395288870368
1963040.6500402715,-0.4554783277685171,-32.102212450858104,3.598254891880063
2310129.7000831584,-0.54486236987187664,-32.127747386121101,3.1698590143280825
2718588.2427329421,-0.66296758154415136,-32.141279604497839,2.7917538987800867
3199267.1377973831,-0.8192008319332742,-32.172346147432734,2.4661033775257408
3764935.8067924716,-1.0324315779065856,-32.202232791956234,2.3880906872035021
4430621.457583881,-1.2971233624094101,-32.213537444952507,2.5090546564320277
5214008.2879996821,-1.6465380447266522,-32.232276592012632,2.7504327359144511
6135907.2734131757,-2.0908231912547088,-32.246581448732591,3.0858597905487102
7220809.0183854625,-2.6436731209976978,-32.287393628209728,3.1506199591621709
8497534.3590864502,-3.2832053347201673,-32.289549223627468,3.7167674385379712
10000000,-4.041672794712186,-32.278188172226322,4.2699250970495424
